Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0603_1608Metric,11.176,-23.114,-90.0,top
C10,10u_25V,C_0603_1608Metric,-22.58414,-7.260921,0.0,top
C11,100n,C_0603_1608Metric,64.2588,-12.728,180.0,top
C12,100n,C_0603_1608Metric,52.7018,6.576,0.0,top
C13,100n,C_0603_1608Metric,49.0188,4.544,180.0,top
C16,100n,C_0603_1608Metric,44.342,-34.52,180.0,top
C2,2.2u,C_0603_1608Metric,36.195,-23.114,-90.0,top
C27,2.2u,C_0603_1608Metric,36.195,-49.198,-90.0,top
C28,2.2u,C_0603_1608Metric,61.23,-49.212,-90.0,top
C29,100n,C_0603_1608Metric,-23.359359,-13.241,-90.0,top
C3,2.2u,C_0603_1608Metric,61.214,-23.114,-90.0,top
C30,100n,C_0603_1608Metric,80.518,-39.862,90.0,top
C31,2.2u,C_0603_1608Metric,65.913,-48.222,-90.0,top
C32,2.2u,C_0603_1608Metric,90.913,-48.222,-90.0,top
C33,100n,C_0603_1608Metric,69.342,-34.52,180.0,top
C34,10n,C_0603_1608Metric,-15.72614,-16.277921,90.0,top
C35,100n,C_0603_1608Metric,-12.954,-22.81,-90.0,top
C36,47u,C_1206_3216Metric,-8.509,-8.098,0.0,top
C37,47u,C_1206_3216Metric,-8.509,-10.699662,0.0,top
C38,47u,C_1206_3216Metric,-8.509,-13.2821,0.0,top
C39,100n,C_0603_1608Metric,-20.1862,-4.923,90.0,top
C4,2.2u,C_0603_1608Metric,65.259,-23.114,-90.0,top
C41,10u_25V,C_0603_1608Metric,-22.5992,-5.685,0.0,top
C5,2.2u,C_0603_1608Metric,90.8878,-23.211,-90.0,top
C54,47u,C_1206_3216Metric,-8.509,-15.845,0.0,top
C6,2.2u,C_0603_1608Metric,11.151,-46.545,-90.0,top
C7,100n,C_0603_1608Metric,27.813,0.013,-90.0,top
C8,100n,C_0603_1608Metric,46.101,-0.0,-90.0,top
C9,100n,C_0603_1608Metric,47.371,18.161,180.0,top
D1,SS34,D_SMA,-16.637,8.271,90.0,top
D2,3V3,D_MiniMELF,-18.26614,-7.628559,0.0,top
D3,SS34,D_SMA,-20.380359,-16.67,180.0,top
D4,1N4148WS,D_SOD-323,95.0028,-36.292,90.0,top
D5,1N5819WS,D_SOD-323,82.042,-10.638,90.0,top
D6,1N5819WS,D_SOD-323,84.074,-10.638,-90.0,top
D7,1N5819WS,D_SOD-323,82.042,-13.94,90.0,top
D8,1N5819WS,D_SOD-323,84.074,-13.94,-90.0,top
FB1,100 ohm @ 100 Mhz,R_1206_3216Metric,-11.43,-20.066,180.0,top
FB2,100 ohm @ 100 Mhz,R_1206_3216Metric,-11.43,-2.54,180.0,top
FB3,100 ohm @ 100 Mhz,R_1206_3216Metric,33.401,16.712,90.0,top
FB4,100 ohm @ 100 Mhz,R_1206_3216Metric,28.321,16.712,90.0,top
FB5,100 ohm @ 100 Mhz,R_1206_3216Metric,26.416,5.842,180.0,top
FB6,100 ohm @ 100 Mhz,R_0805_2012Metric,79.3818,20.223,-90.0,top
FB7,100 ohm @ 100 Mhz,R_0805_2012Metric,86.36,24.892,90.0,top
L1,15uh,L_7.3x6.7_H3.5,-19.6622,-22.131,0.0,top
R1,1k,R_0603_1608Metric,9.525,-23.114,90.0,top
R10,RGREEN,R_0805_2012Metric,43.8218,-15.776,90.0,top
R11,RGREEN,R_0805_2012Metric,62.3538,-15.776,90.0,top
R12,1k,R_0603_1608Metric,47.752,-0.0,90.0,top
R13,10k,R_0603_1608Metric,69.342,-37.822,180.0,top
R14,RRED,R_0805_2012Metric,59.8138,-15.776,90.0,top
R15,1k,R_0603_1608Metric,67.0528,-11.966,-90.0,top
R16,1k,R_0603_1608Metric,52.7018,4.544,180.0,top
R17,1k,R_0603_1608Metric,44.342,-36.171,0.0,top
R18,RGREEN,R_0805_2012Metric,81.7948,4.318,-90.0,top
R19,1k,R_0603_1608Metric,49.0188,6.576,0.0,top
R2,1k,R_0603_1608Metric,34.544,-23.114,90.0,top
R20,220,R_0603_1608Metric,58.221,18.268,-90.0,top
R21,220,R_0603_1608Metric,59.721,22.078,-90.0,top
R22,220,R_0603_1608Metric,95.758,8.509,90.0,top
R23,220,R_0603_1608Metric,105.283,8.509,90.0,top
R24,220,R_0603_1608Metric,113.792,8.509,90.0,top
R25,47k,R_0603_1608Metric,107.315,-6.731,180.0,top
R3,1k,R_0603_1608Metric,59.563,-23.114,90.0,top
R31,10k,R_0603_1608Metric,44.342,-37.822,180.0,top
R32,RRED,R_0805_2012Metric,81.7948,-1.778,90.0,top
R33,220,R_0603_1608Metric,116.84,8.509,90.0,top
R34,47k,R_0603_1608Metric,108.966,-5.08,0.0,top
R35,2.7k,R_0603_1608Metric,38.672,16.637,180.0,top
R36,2.7k,R_0603_1608Metric,37.846,18.288,180.0,top
R37,1k,R_0603_1608Metric,26.289,0.013,90.0,top
R38,RRED,R_0805_2012Metric,41.2718,-15.776,90.0,top
R39,10k,R_0603_1608Metric,45.8438,5.814,90.0,top
R4,1k,R_0603_1608Metric,66.91,-23.114,90.0,top
R40,10k,R_0603_1608Metric,64.2588,-11.204,180.0,top
R41,10k,R_0603_1608Metric,55.8768,5.433,90.0,top
R42,1k,R_0603_1608Metric,67.564,-48.222,90.0,top
R43,1k,R_0603_1608Metric,92.564,-48.236,90.0,top
R44,10k,R_0603_1608Metric,-14.1222,-12.4,90.0,top
R45,10k,R_0603_1608Metric,80.518,-35.671,-90.0,top
R46,220,R_0603_1608Metric,99.4156,-37.005,-90.0,top
R47,47k,R_0603_1608Metric,-17.399,-5.626821,0.0,top
R48,220,R_0603_1608Metric,-14.1222,-9.316841,-90.0,top
R49,3k,R_0603_1608Metric,-14.1222,-6.24326,-90.0,top
R5,1k,R_0603_1608Metric,92.564,-23.211,90.0,top
R52,220,R_0603_1608Metric,91.313,-14.605,90.0,top
R53,220,R_0603_1608Metric,88.9,-14.605,90.0,top
R54,220,R_0603_1608Metric,79.0008,15.143,0.0,top
R55,220,R_0603_1608Metric,79.0008,16.921,0.0,top
R56,47k,R_0603_1608Metric,6.223,-5.715,180.0,top
R57,47k,R_0603_1608Metric,7.874,-7.493,0.0,top
R58,220,R_0603_1608Metric,68.221,22.078,-90.0,top
R59,220,R_0603_1608Metric,69.721,26.078,-90.0,top
R6,1k,R_0603_1608Metric,9.525,-46.545,90.0,top
R68,220,R_0603_1608Metric,86.5148,-29.2566,0.0,top
R7,1k,R_0603_1608Metric,34.544,-49.198,90.0,top
R8,1k,R_0603_1608Metric,59.579,-49.212,90.0,top
R9,1k,R_0603_1608Metric,69.342,-36.171,0.0,top
U1,M24512,SOIC-8_3.9x4.9mm_P1.27mm,46.228,23.114,180.0,top
U2,74LVC2G17,SOT-23-6,57.785,10.033,0.0,top
U4,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,-18.787359,-11.89234,180.0,top
U5,6N137,SMDIP-8_W9.53mm,87.619,-36.052,270.0,top
U9,74LVC2G17,SOT-23-6,89.281,-10.795,180.0,top
